n	p	t	o	pr	tr	tp	s	pd	ce	r	e	a	rl	su	mp	px	fw	st	ad
Tank Bigsby	RB	Philadelphia Eagles	151	RB54	162	RB56	6.595	6	5.9	6.4	8.2	8.2	6.5	7.8	82.75	FAIR	150–165	BACKUP ROLE WATCH	156
Matthew Stafford	QB	Los Angeles Rams	152	QB18	89	QB13	8.834	8.383	8.8	9.8	9.3	8.3	9.2	9	265	REACH	105–115	AGE/DURABILITY WATCH	98
Corey Kiner	RB	New England Patriots	153	RB55	164	RB58	6.885	6.1	6.6	6.2	9.2	9.1	6	7.4	70.5	FAIR	late / waivers	TRADED TO NEW ENGLAND / RB3 CONTINGENCY ROLE	
Alvin Kamara	RB	New Orleans Saints	154	RB56	146	RB50	6.401	6.5	5.38	7	8.2	4.8	6.8	7.2	122.5	FAIR	150–late	MCL SPRAIN — AT LEAST ONE MONTH	136
Tyler Shough	QB	New Orleans Saints	155	QB19	147	QB22	8.62625	8.48	8.294	9.64	8.4	9.3	7.864	7.8	254	FAIR	140–155	PASS	133
Baker Mayfield	QB	Tampa Bay Buccaneers	156	QB20	136	QB19	8.926	9.275	8.2	9.6	8.8	8.8	8.3	8.5	318.5	BUY	135–150	PASS	150
Jonnu Smith	TE	Green Bay Packers	157	TE21	157	TE21	6.65375	6.005	6.365	5.56	8.5	9.3	6	7.2	78	FAIR	late / waivers	SIGNED BY GREEN BAY / MUSGRAVE PUP OPPORTUNITY	
Jordan Love	QB	Green Bay Packers	158	QB21	137	QB20	8.75	8.742	8.1	9.6	8.8	9.1	8.1	8.7	286.5	BUY	135–150	PASS	149
Isiah Pacheco	RB	Detroit Lions	159	RB57	163	RB57	6.461	5.79	5.78	6.8	9.2	6.5	6.47	7.3	97.5	FAIR	180–late	LIMITED ROLE / CAMP USAGE WATCH	150
Malik Willis	QB	Miami Dolphins	160	QB22	140	QB21	7.81	7.7	7.7	8.8	6.5	8.5	7.4	7.7	230	BUY	140–155	SAMPLE-SIZE WATCH	152
Zach Charbonnet	RB	Seattle Seahawks	161	RB58	160	RB54	6.18	6	4.8	6.6	8.7	5.7	6.6	7.2	116.5	FADE	170–late	ACL RECOVERY / RETURN-TIMELINE WATCH	129
Sam Darnold	QB	Seattle Seahawks	162	QB23	152	QB24	8.448	8.265	7.5	9.5	8.7	9.3	8.1	8.5	258.25	FAIR	155–170	PASS	164
Jordyn Tyson	WR	New Orleans Saints	163	WR61	155	WR59	6.329	6.31	6.92	7.8	8.1	1.6	5.43	6.5	88	FADE	135–late	HAMSTRING — ~2 MONTH ABSENCE	76
C.J. Stroud	QB	Houston Texans	164	QB24	148	QB23	8.4265	8.371	7.61	9.5	8.7	9.2	7.4	7.8	273.25	BUY	145–165	PASS	164
Tank Dell	WR	Houston Texans	165	WR62	166	WR63	6.67	6.6	7.7	6.2	8.8	3.8	5.8	6.8	126	FAIR	IR / waivers	IR — DESIGNATED TO RETURN / WEEK 5 EARLIEST	
Jayden Higgins	WR	Houston Texans	166	WR63	165	WR62	1.006	0	0	0	9.1	0	0	8.5	0	FADE	120–135	SEASON-ENDING ACL — IR	132
